  Decimal          SNAFU         Base 5
        1              1              1
        2              2              2
        3             1=              3
        4             1-              4
        5             10             10
        6             11             11
        7             12             12
        8             2=             13
        9             2-             14
       10             20             20
       15            1=0             30
       20            1-0             40
       25            100            100
       26            101            101
     2022         1=11-2          31042
    12345        1-0---0         343340
314159265  1121-1110-1=0  1120411044030
